OrderID,OrderDate,CustomerID,Country,Region,Product,Quantity,UnitPrice,Discount,ShippingMode,Category,Sales,Profit
10878,2023-02-22,1152,Brazil,Central,Headphones,3,1421,0.29,Same Day,Accessories,4263,658.7997073559945
10602,2023-06-26,1031,USA,North,Camera,2,238,0.32,Same Day,Electronics,476,23.906961267883446
10423,2022-03-17,1031,Germany,East,Smartwatch,5,1960,0.37,Standard,Electronics,9800,813.1755834459291
10575,2022-09-25,1131,Brazil,Central,Smartwatch,9,779,0.14,Express,Electronics,7011,2043.6408471275981
10558,2023-04-02,1005,Japan,South,Mobile,3,1231,0.25,Standard,Electronics,3693,122.03657328668396
10703,2022-11-11,1117,Japan,West,Laptop,4,1250,0.18,Standard,Electronics,5000,528.9561678280725
10686,2024-03-22,1122,India,South,Printer,2,1564,0.19,Same Day,Office,3128,680.2164900439717
10183,2022-09-20,1152,Germany,North,Camera,1,483,0.24,Same Day,Electronics,483,93.03728552131396
10324,2024-12-17,1012,Mexico,North,Tablet,1,383,0.3,Standard,Electronics,383,64.59858503886058
10610,2024-02-24,1095,USA,North,Mobile,3,208,0.26,Same Day,Electronics,624,142.0661751726372
10588,2023-03-11,1086,Japan,South,Laptop,5,596,0.31,Same Day,Electronics,2980,332.04195225443914
10079,2024-12-22,1097,Canada,South,Printer,5,844,0.05,standard,Office,4220,458.46800178964213
10186,2023-09-16,1132,Brazil,North,Keyboard,2,1243,0.05,Express,Accessories,2486,178.22162140678637
10085,2022-08-19,1048,Japan,South,Laptop,1,1692,0.09,Standard,Electronics,1692,659.5365437407114
10507,2023-11-07,1031,Germany,North,Monitor,9,973,0.27,EXPRESS,Electronics,8757,1756.4322828530157
10245,2024-12-05,1046,India,East,Smartwatch,4,1423,0.34,Standard,Electronics,5692,216.84035374304858
10673,2024-10-23,1036,Australia,West,Tablet,7,1033,0.06,Same Day,Electronics,7231,807.7436540245815
10717,2022-08-17,1056,USA,,Headphones,2,387,0.08,EXPRESS,Accessories,774,227.05988617743293
10675,2024-01-20,1165,France,West,Keyboard,2,882,0.3,standard,Accessories,1764,-234.37382735126573
10520,2024-01-22,1120,Canada,North,Laptop,4,76,0.29,Express,Electronics,304,-43.30238604015838
10977,2024-05-03,1090,Mexico,South,Camera,7,1713,,Express,Electronics,11991,-220.3247363553637
10335,2024-06-15,1006,Mexico,West,Keyboard,4,1778,0.11,Same Day,Accessories,7112,1593.0943769868777
10922,2024-09-14,1163,Australia,Central,Mouse,7,658,0.38,Express,Accessories,4606,-1245.6067197473687
10819,2024-08-05,1160,UK,South,Monitor,2,1804,0.06,Same Day,Electronics,3608,642.5476357465554
10381,2022-01-12,1067,USA,West,Camera,6,893,0.32,Same Day,Electronics,5358,-454.2937599105985
10656,2022-01-08,1011,Australia,North,Tablet,8,1243,0.35,Same Day,Electronics,9944,155.34058031995392
10019,2024-01-18,1052,Australia,West,Monitor,5,689,0.35,EXPRESS,Electronics,3445,-254.77915288349232
10860,2024-09-09,1010,Japan,West,Keyboard,4,1488,0.23,Same Day,Accessories,5952,78.06729622397779
10076,2022-03-06,1171,UK,East,Mouse,9,676,0.14,Same Day,Accessories,6084,90.60103597522823
10390,2024-08-27,1021,Australia,Central,laptop,4,1704,0.3,EXPRESS,Office,6816,-446.5614835139538
10597,2023-03-23,1172,Japan,West,Headphones,3,1896,0.03,Express,Accessories,5688,2439.1369315779093
10295,2022-11-10,1059,Australia,East,Monitor,6,397,0.31,Express,Electronics,2382,-344.5517364383046
10958,2022-05-31,1122,Australia,,Laptop,4,594,0.19,Standard,Electronics,2376,514.5379759527605
10119,2023-04-30,1134,Canada,Central,Laptop,8,1381,0.37,standard,Electronics,11048,-1756.0730049308636
10361,2024-02-01,1103,Brazil,East,Monitor,6,1310,0.14,standard,Electronics,7860,2123.5129889361347
10652,2022-02-17,1169,India,North,Keyboard,5,564,0.34,EXPRESS,Accessories,2820,-369.50947536821684
10553,2024-11-12,1060,France,North,Headphones,7,1247,0.26,Express,Accessories,8729,-1058.1316603727437
10917,2024-02-08,1155,Australia,East,Monitor,3,1270,0.17,standard,Electronics,3810,
10420,2022-06-26,1156,Brazil,South,Printer,6,285,0.11,EXPRESS,Office,1710,92.34121530114308
10169,2023-10-22,1159,India,West,Laptop,2,1818,0.19,Standard,Electronics,3636,-245.85363513178106
10751,2023-11-21,1011,Mexico,West,Camera,6,1094,0.05,standard,Electronics,6564,
10033,2022-01-21,1050,Australia,East,Mobile,9,739,0.1,Same Day,Electronics,6651,175.61987178903235
10075,2022-01-15,1107,Germany,South,Camera,3,628,0.08,Express,Electronics,1884,287.4632105621006
10583,2024-02-06,1040,Brazil,,laptop,6,1186,0.25,standard,Office,7116,1075.3526317096612
10157,2023-02-05,1015,Japan,South,Laptop,6,850,0.03,Standard,Electronics,5100,2011.1570594934506
10938,2022-11-24,1158,USA,West,Printer,4,1642,0.21,standard,Office,6568,-119.30584698674124
10666,2022-03-19,1086,India,East,Tablet,7,1816,0.29,Express,Electronics,12712,-848.4696002162618
10773,2022-01-05,1177,Germany,North,Mobile,8,1257,0.35,Standard,Electronics,10056,-25.778796954323752
10470,2024-01-24,1198,Australia,North,Headphones,5,1269,0.17,EXPRESS,Accessories,6345,1249.482323940003
10716,2024-11-29,1000,Germany,Central,Smartwatch,7,1828,0.3,EXPRESS,Electronics,12796,542.1222534662534
10002,2024-12-31,1033,UK,North,Tablet,4,51,0.17,Same Day,Electronics,204,6.142379062462858
10311,2024-09-18,1039,Australia,North,Headphones,9,441,0.2,standard,Accessories,3969,493.0047716685373
10363,2024-02-08,1187,Australia,West,Monitor,4,1484,0.21,EXPRESS,Electronics,5936,-274.10726689647026
10591,2024-01-08,1024,Japan,West,Headphones,8,1663,0.38,Same Day,Accessories,13304,-487.1238292400303
10092,2024-07-18,1011,UK,Central,Mouse,4,1137,0.03,Standard,Accessories,4548,2136.8295111091015
10891,2024-09-29,1122,India,North,Smartwatch,1,99,,standard,Electronics,99,-21.726701603758436
10958,2022-05-31,1122,Australia,,Laptop,4,594,0.19,Standard,Electronics,2376,514.5379759527605
10103,2023-10-05,1088,Japan,North,Keyboard,3,1920,0.28,Express,Accessories,5760,276.0747069443023
10639,2023-06-08,1176,France,North,Headphones,9,1269,0.1,Express,Accessories,11421,3549.2355597342366
10858,2024-03-24,1171,USA,North,Printer,9,498,0.31,EXPRESS,Office,4482,-593.5902497440284
10681,2022-01-28,1013,Australia,East,Printer,7,991,0.38,EXPRESS,Office,6937,-1360.3731814574116
10116,2023-07-18,1150,Canada,East,Mobile,9,176,0.09,Same Day,Electronics,1584,469.80984424433285
10604,2022-03-22,1043,India,East,Mobile,2,1979,0.12,standard,Electronics,3958,1463.2846168882074
10670,2023-11-30,1077,Australia,South,Mouse,7,326,0.24,EXPRESS,Accessories,2282,192.1372980074749
10845,2024-04-07,1088,Canada,Central,Headphones,7,900,0.32,Standard,Accessories,6300,-58.49723094868477
10594,2024-03-08,1146,Brazil,East,Mobile,1,440,0.19,EXPRESS,Electronics,440,26.45268218443701
10189,2022-01-02,1002,UK,East,Tablet,7,879,0.26,EXPRESS,Electronics,6153,-257.1797379364391
10127,2023-07-11,1071,Germany,East,Mobile,2,284,0.36,EXPRESS,Electronics,568,-3.2083041143900175
10231,2022-08-14,1062,India,North,Camera,3,943,0.13,Standard,Electronics,2829,398.9934172948769
10244,2023-04-22,1053,France,East,Keyboard,6,323,0.17,standard,Accessories,1938,218.29178337590565
10979,2023-12-15,1067,Japan,Central,Printer,7,215,0.28,Same Day,Office,1505,9.499313221389059
10425,2023-03-31,1174,Canada,West,Printer,7,89,0.32,standard,Office,623,59.95584688367654
10864,2023-01-06,1073,USA,Central,MOBILE,2,1618,0.15,Standard,Electronics,3236,1004.49501385977
10297,2022-11-01,1027,France,West,Laptop,7,554,0.33,EXPRESS,Electronics,3878,-293.4387206146664
10605,2022-05-13,1081,Mexico,West,MOBILE,3,480,0.38,EXPRESS,Accessories,1440,-23.643574750439143
10745,2023-10-16,1034,Germany,North,Keyboard,8,1010,0.28,Standard,Accessories,8080,-422.0445563134558
10223,2023-04-15,1152,UK,South,Mobile,1,800,0.39,Standard,Electronics,800,-1.0294998620231013
10600,2024-09-10,1052,UK,Central,Monitor,9,256,0.32,Express,Electronics,2304,-238.47840676975534
10882,2024-08-12,1036,Japan,North,Laptop,7,281,0.13,EXPRESS,Electronics,1967,182.40434735227385
10078,2023-10-10,1101,Australia,East,Monitor,3,248,0.22,Same Day,Electronics,744,-33.45430450887278
10406,2024-10-05,1078,UK,East,Tablet,8,1599,0.25,Express,Electronics,12792,-457.37827743241905
10776,2023-07-28,1007,Japan,Central,Keyboard,2,1157,0.2,EXPRESS,Accessories,2314,19.557456417355695
10038,2022-11-12,1028,France,West,Keyboard,2,686,0.13,Same Day,Accessories,1372,71.52900465203845
10287,2024-08-29,1037,Germany,West,Monitor,6,835,0.34,Express,Electronics,5010,350.28497116673225
10165,2022-05-24,1157,France,North,Laptop,9,1351,,Same Day,Electronics,12159,5351.0251209925245
10239,2023-10-21,1002,UK,East,Tablet,3,1122,0.18,EXPRESS,Electronics,3366,505.99724094361784
10965,2023-12-10,1025,India,Central,Printer,6,1509,0.3,standard,Office,9054,375.75060876970383
10636,2024-04-17,1187,Brazil,West,Headphones,4,216,0.21,Express,Accessories,864,-44.77893028968077
10455,2023-09-26,1011,Australia,East,Smartwatch,1,251,0.14,Express,Electronics,251,1.0353837778048245
10374,2023-11-21,1059,France,North,Keyboard,3,1565,0.07,EXPRESS,Accessories,4695,1931.1759082291642
10434,2024-08-05,1020,Australia,North,Tablet,8,751,0.15,Same Day,Electronics,6008,492.0456447701962
10564,2024-05-30,1007,Canada,East,Camera,5,1560,0.16,Express,Electronics,7800,674.3885655457889
10942,2024-12-10,1169,UK,West,Monitor,1,1365,0.27,Same Day,Electronics,1365,-48.24598558224494
10224,2024-11-11,1198,Brazil,South,Laptop,1,1633,0.14,Same Day,Electronics,1633,547.6376640069591
10260,2022-05-08,1012,USA,West,Headphones,7,1382,0.3,Standard,Accessories,9674,154.3868762723705
10130,2024-03-06,1115,Canada,North,Mouse,9,174,0.21,Express,Accessories,1566,184.58978947424623
10701,2023-09-05,1009,Canada,North,Mobile,3,448,0.12,EXPRESS,Electronics,1344,5.279320849559753
10530,2024-03-08,1159,France,South,Mouse,6,109,0.25,EXPRESS,Accessories,654,-32.90672447663246
10177,2023-07-05,1184,Japan,South,Camera,3,1873,0.02,EXPRESS,Electronics,5619,1108.8702681170953
10197,2022-07-27,1036,UK,West,Mobile,7,830,0.29,Same Day,Electronics,5810,780.6835326191174
10906,2022-08-03,1020,Mexico,West,Camera,1,1753,0.1,standard,Electronics,1753,290.86141648253096
10551,2023-12-10,1048,Canada,East,Keyboard,9,1005,0.39,EXPRESS,Accessories,9045,975.5973589043015
10672,2024-10-27,1118,Australia,Central,Keyboard,5,1439,0.17,standard,Accessories,7195,1036.9737098148148
10517,2024-07-17,1040,Mexico,Central,Smartwatch,7,1036,0.37,standard,Electronics,7252,54.42119744145657
10216,2024-03-26,1183,Canada,West,Tablet,8,639,,EXPRESS,Electronics,5112,-308.50074021977537
10331,2023-05-28,1190,India,East,Keyboard,1,1956,0.14,Express,Accessories,1956,606.2904369439979
10963,2023-05-29,1020,France,West,Tablet,1,856,0.2,Standard,Electronics,856,23.467886274120502
10813,2023-06-01,1189,Germany,Central,Printer,3,1511,0.39,Same Day,Office,4533,-296.7695206432884
10929,2024-02-17,1089,USA,Central,Monitor,3,1909,0.12,Same Day,Electronics,5727,306.44523695269686
10984,2023-12-22,1059,India,North,Monitor,5,1707,0.37,Express,Electronics,8535,490.7616275470018
10366,2024-11-05,1108,UK,North,Keyboard,7,860,,standard,Accessories,6020,659.8506975859718
10238,2024-03-26,1168,France,West,Laptop,4,106,0.18,standard,Electronics,424,34.40902124537064
10316,2024-07-24,1079,India,,Mobile,4,566,0.2,Express,Electronics,2264,-191.45975849785674
10451,2024-07-01,1162,UK,South,Tablet,2,810,0.18,standard,Electronics,1620,416.5112890189367
10693,2022-04-21,1167,USA,West,Mouse,8,1106,0.23,standard,Accessories,8848,1269.2441581735127
10182,2022-05-31,1157,UK,East,Keyboard,7,1161,0.38,standard,Accessories,8127,-794.6948985505178
10163,2024-09-08,1169,France,West,Mouse,4,1398,0.32,standard,Accessories,5592,218.51548780091025
10327,2024-03-01,1088,Mexico,West,Tablet,7,565,0.16,EXPRESS,Electronics,3955,1007.9711638873183
10991,2023-10-28,1068,Japan,East,Smartwatch,3,799,0.19,Same Day,Electronics,2397,339.7697288805878
10073,2023-05-08,1034,Australia,Central,Printer,4,385,0.38,EXPRESS,Office,1540,9.540632798654315
10534,2023-01-09,1157,Japan,Central,Mouse,7,1293,0.04,standard,Accessories,9051,4051.021686002323
10220,2023-11-19,1010,UK,North,Printer,3,749,0.12,standard,Office,2247,831.6620688397232
10643,2024-03-04,1163,Australia,West,Laptop,5,1408,0.2,Standard,Electronics,7040,1464.5498676536427
10195,2022-01-09,1145,USA,East,Camera,3,1276,0.01,Same Day,Electronics,3828,1120.4594386786105
10175,2023-05-04,1189,India,West,Camera,5,1232,0.03,Express,Electronics,6160,1774.2012858613127
10122,2023-06-25,1116,Mexico,,Tablet,5,1419,0.23,standard,Electronics,7095,517.1365404352557
10045,2024-08-13,1186,Australia,North,Tablet,6,1485,0.15,standard,Electronics,8910,1102.1765994517164
10556,2023-12-15,1133,India,Central,Tablet,3,955,0.31,Same Day,Electronics,2865,57.78979216489472
10270,2024-02-24,1104,Australia,Central,Smartwatch,8,543,0.23,Same Day,Electronics,4344,1042.3116045586257
10669,2023-06-10,1013,Germany,West,Tablet,5,201,0.35,Standard,Electronics,1005,-77.71429873332613
10418,2023-11-30,1118,Japan,North,Headphones,1,939,0.4,standard,Accessories,939,66.03942093477633
10339,2024-05-10,1030,UK,South,Printer,4,890,0.36,Express,Office,3560,-693.3852339707441
10208,2024-07-02,1139,Canada,Central,Laptop,9,982,0.36,Standard,Electronics,8838,921.9017914840501
10868,2022-07-21,1002,Australia,North,Tablet,8,1716,0.35,Express,Electronics,13728,-3283.98662325216
10742,2023-07-13,1028,Mexico,South,Mouse,7,1787,0.37,EXPRESS,Accessories,12509,1379.4942091694775
10503,2024-08-29,1081,Canada,West,Smartwatch,7,229,0.33,standard,Electronics,1603,-59.39424596877666
10022,2024-12-18,1172,Mexico,North,Headphones,4,145,0.35,standard,Accessories,580,46.07243678073041
